ID;Название;Кол-во просмотров;Настроение;ТОП10 Слов
1180;A Rosetta Stone for a lost language;1082667;Fascinating Informative Ingenious;письмо текст иероглиф письменность цивилизация буква знак последовательность инд территория
1181;Meet e-Patient Dave;477309;Inspiring Courageous Informative;рак доктор почка дэйв здоровье здравоохранение вебсайт больница доступ поиск
1182;Building a park in the sky;628204;Inspiring Beautiful Ingenious;лайн дорога парк секция участок манхеттен авеню млн район строительство
1183;Try something new for 30 days;6969195;Inspiring Persuasive Funny;течение роман привычка удовольствие норма велосипед рутина секрет фото ходжман
1184;Cooking as never seen before;1298656;Informative Fascinating OK;гамбургер разрез еда варка физика кухня желатин ватт кусок химия
1185;The beautiful tricks of flowers;838661;Beautiful Fascinating Informative;растение насекомое пыльца цветок нектар пчела муха орхидея ультрафиолет опылитель
1186;Don't take consciousness for granted;650983;Inspiring Fascinating Jaw-dropping;разум состояние челюсть сознание кома кровь передача больница боль зуб
1187;Caring for engineered tissue;466774;Informative OK Fascinating;сердце среда лаборатория условие инженер блюдо обитание смысл ткань урок
1188;Let's take back the Internet!;691423;Informative Persuasive Inspiring;цензура гражданин свобода активист сайт интерес демократия киберпространство приложение тунис
1189;A global culture to fight extremism;622734;Persuasive Informative Inspiring;демократия культура лидер эра спрос партия выбор экстремист пакистан государство
1190;Trial, error and the God complex;1512092;Inspiring Persuasive Informative;ошибка арчи бог проба кохрейн комплекс метод экономика лагерь витамин
1191;See Yemen through my eyes;454558;Inspiring Courageous Informative;йемен газета паранджа революция девушка мост молодой журналист пресса ответственность
1192;Fighting viruses, defending the net;1474745;Informative Fascinating Persuasive;вирус код санкт-петербург сайт амджад имя киберпреступник контроллер ребята файл
1193;Embracing otherness, embracing myself;2048003;Inspiring Beautiful Courageous;личность единство проекция существо самосознание понятие определение сущность разрушение раса
1194;How algorithms shape our world;3429316;Fascinating Informative Jaw-dropping;алгоритм стрит уолл микросекунда лифт математика радар ящик акция хаос
1195;A robot that flies like a bird;5763632;Jaw-dropping Ingenious Fascinating;крыло птица задача мотор маркус метр ватт область конструкция кручение
1196;Time to end the war in Afghanistan;628647;Persuasive Informative Courageous;афганистан войско вмешательство босния генерал ресурс талибан решительность ситуация безопасность
1197;The surprising math of cities and corporations;1352057;Fascinating Informative Ingenious;размер рост теория масштаб масштабирование эффект линия увеличение биология скорость
1198;The origins of pleasure;1812579;Fascinating Informative Funny;удовольствие капгр синдром произведение джошуа подделка картина боль геринг оригинал
1199;Ending hunger now;728849;Inspiring Persuasive Informative;еда голод питание банк девочка борьба деревня цена магазин цент
1200;5 ways to listen better;3392356;Inspiring Informative Persuasive;слушание шум позиция способность упражнение фильтр понимание зал тишина сушилка
1201;After your final status update;1062978;Fascinating Informative OK;запись смерть сервис архив сообщение миллер блог журналист рак технолог
1202;Wireless data from every light bulb;2276562;Ingenious Fascinating Inspiring;лампа спектр передача освещение приемник поток радиоволна станция больница скорость
1203;How language transformed humanity;1271630;Informative Fascinating Unconvincing;наконечник неандерталец ген вариант сотрудничество способность обмен мудрость знание башня
1204;Are we filtering the wrong microbes?;513487;Informative Persuasive Fascinating;микроорганизм воздух разнообразие комната помещение госпиталь здоровье больница поддержание окружение
1205;Suddenly, my body;1218786;Inspiring Courageous Beautiful;рак влагалище следствие шляпа конго течение дыра залив жадность смерть
1206;The demise of guys?;1965506;Informative Funny Persuasive;мальчик возбуждение девочка девушка зависимость порно степень последствие слизень разница
1207;The shareable future of cities;943261;Inspiring Informative Persuasive;район транспорт плотность доступ потребление выхлоп выброс перфоратор использование услуга
1208;The great penguin rescue;367252;Inspiring Informative Courageous;пингвин птица нефть спасение доброволец сокровище остров разлив птенец опыт
1209;One day of peace;787204;Inspiring Courageous Persuasive;оон сентябрь актер письмо участие человечество отказ мысль государство насилие
1210;Finding planets around other stars;987284;Informative Fascinating OK;звезда солнце поиск огонь небо веснушка излучение вселенная действительность радиация
1211;The magic of truth and lies (and iPods);5266745;Fascinating Beautiful Jaw-dropping;обман фокусник диктор самообман ложь дама волшебство опыт артист очки
1212;Beware conflicts of interest;939767;Informative OK Persuasive;показатель интерес процедура конфликт черный чудак щетина выборка правый кабинет
1213;DNA clues to our inner neanderthal;1330719;Fascinating Informative Persuasive;неандерталец днк геном африканец различие ген последовательность предел предок буква
1214;Pay attention to nonviolence;645083;Inspiring Persuasive Courageous;сопротивление деревня лидер палестина берег иерусалим стена палестинец демонстрация будрусь
1215;Can we make things that make themselves?;891138;Unconvincing Ingenious Fascinating;цепь вычисление элемент последовательность кирпич ввод блок куда самосборка угол
1216;Compassion and the true meaning of empathy;1193142;Inspiring Beautiful Courageous;сострадание страдание способность архетип условие собака бангалор авалокитешвар рана компонент
1217;Unintended consequences;767466;Informative OK Longwinded;последствие медицина область пенициллин катастрофа корабль способность патент урок бактерицид
1218;Making matter come alive;663606;Fascinating Informative Ingenious;биология эволюция вещество материя молекула живой химик углерод вселенная реакция
1219;Shake up your story;904496;Inspiring Funny Ingenious;зрение книжка индус пропаганда событие творчество рагз мусульманин машид предубеждение
1220;Does democracy stifle economic growth?;726371;Informative Persuasive Fascinating;китай инфраструктура рост зрение реформа ввп темп демократия грамотность преимущество
1221;Hire the hackers!;1136981;Informative Persuasive Fascinating;хакер безопасность аноним навык киберпреступник взлом способность центр веб среда
1222;The art of wearable communication;809864;Funny Unconvincing Inspiring;ледник зал шляпа общение растение инструмент стена художник сообщение лед
1223;Welcome to the genomic revolution;777013;Fascinating Informative Jaw-dropping;ген геном основание секвенирование рак хромосома копия мутация ребята стадия
1224;The conscience of television;548273;Informative Unconvincing Fascinating;телевидение передача телевизор сознание шоу неопределенность вдохновение экран неуважение зритель
1226;The 6 killer apps of prosperity;1470940;Informative Fascinating Persuasive;запад дивергенция америка империя китай этика цивилизация собственность кризис зал
1227;What we learned from 5 million books;1589150;Funny Fascinating Informative;грамм автор строка культура слава картинка подавление распределение геном индекс
1228;Selling condoms in the Congo;761555;Informative Persuasive OK;презерватив клиент конго дэмиен вич аудитория цена распространение секс упаковка
1229;Fighting a contagious cancer;463858;Informative Fascinating Jaw-dropping;рак дьявол опухоль джонас популяция тасмания днк морда собака мутация
1230;Doodlers, unite!;1121376;Informative Inspiring Persuasive;рисование каракуля рисунок значение мера зрение совещание вклад опыт восприятие
1231;A doctor's touch;1179570;Inspiring Beautiful Persuasive;ритуал врач осмотр грудь доктор белл больница филдес картина рак
1232;A short intro to the Studio School;594562;Inspiring Persuasive Informative;подросток студия ученик навык учеба университет школьник предмет председатель метод
1233;Filming democracy in Ghana;383625;Inspiring Informative Courageous;демократия африканец выборы поиск кандидат участок гана голосование голос народ
1234;Battling bad science;1886604;Informative Persuasive Fascinating;испытание препарат таблетка рак плацебо половина лекарство газета овощ эффект
1235;A flirtatious aria;725010;Beautiful OK Unconvincing;танец поцелуй губа ножка страсть небо рядом кровь публика око
1236;The generation that's remaking China;1602205;Informative Inspiring Beautiful;молодой китай поколение рабочий микроблог сми представитель колледж телевидение степень
1237;Finding life we can't imagine;579816;Fascinating Informative Ingenious;распределение живой аминокислота среда текст частота вирус мутация бактерия скорость
1238;Less stuff, more happiness;3021967;Inspiring Persuasive Informative;метр квартира кровать среда гость коробка свобода комната стена кабинет
1239;We can recycle plastic;896540;Ingenious Inspiring Informative;пластик металл пластика переработка пластмасса отходы тип нефть цвет производство
1240;Trusting the ensemble;462073;Beautiful Inspiring Fascinating;оркестр доверие музыкант принц дама господь нота дирижер кармен выступление
1241;What do babies think?;2322314;Fascinating Informative Inspiring;гипотеза взрослый сознание младенец мальчик печение детектор мысль детство брусочек
1243;How beauty feels;892023;Fascinating Beautiful Inspiring;красота ощущение дизайнер функция мотоцикл компромисс часовщик удовольствие мысль пакет
1244;The day I turned down Tim Berners-Lee;537830;Informative Funny OK;энгельбарт дуглас статья журнал имя ванневар буш конференция версия бернерс
1246;How to spot a liar;12376502;Informative Fascinating Persuasive;ложь обман лжец знаток жест улыбка выражение коко презрение знание
1247;My mushroom burial suit;1221160;Ingenious Fascinating Inspiring;гриб токсин смерть вечность среда культура декомпокультура похороны организм принятие
1248;Learning from a barefoot movement;3482671;Inspiring Fascinating Courageous;деревня колледж бабушка муж крыша профессионал афганистан министр архитектор кукла
1249;Freeing energy from the grid;998447;Jaw-dropping Inspiring Ingenious;электрон состояние открытие окно пленка толщина комната университет наноматериал ледник
1250;How cyberattacks threaten real-world peace;423797;Informative Persuasive Fascinating;военный кибероружие нападение кибератака оружие враг европа конфликт преимущество оборона
1251;"A prosthetic arm that ""feels""";767653;Ingenious Fascinating Inspiring;протез мышца кисть аманда локоть нерв сигнал джесси электрод грудь
1252;Art made of storms;670581;Ingenious Fascinating Beautiful;погода элемент запись музей скульптура число тростник температура нота произведение
1253;How economic inequality harms societies;2103367;Informative Persuasive Fascinating;доход разница неравенство график взаимосвязь штат стресс ситуация показатель влияние
1255;The strange tale of the Norden bombsight;898902;Informative Fascinating Persuasive;норден прицел бомба высота карл самолет фут завод бомбардир скорость
1256;Open-source cancer research;469624;Inspiring Ingenious Informative;рак молекула лекарство мышь лаборатория белок вещество ген разработка сотрудничество
1257;Stories cut from paper;880333;Beautiful Inspiring Fascinating;бумага зал небо художник вырезка нью-йорк паучок стекло бронкс метро
1258;FBI, here I am!;737635;Funny Longwinded Ingenious;фбр аэропорт рейс окей штат сентябрь хасан ребята архив тестирование
1259;Trust, morality -- and oxytocin?;1407486;Fascinating Informative Inspiring;окситоцин мораль существо молекула зал кровь тестостерон надежность сочувствие свадьба
1260;A plane you can drive;888491;Ingenious Fascinating Informative;самолет крыло полет пилот путешествие безопасность испытатель гараж летчик вождение
1261;The real reason for brains;1591830;Fascinating Informative Persuasive;задача шум робот убеждение ощущение источник последствие число правило робототехника
1262;Augmented reality, techno-magic;967336;Funny Ingenious Fascinating;инструмент магия участие секрет прощение метод взгляд проекция счет отображение
1264;The line between life and not-life;643258;Fascinating Informative Ingenious;протоклетка живой среда молекула тип лаборатория химикат условие капля метаболизм
1265;High-tech art (with a sense of humor);719099;Ingenious Fascinating Funny;предмет комната дядя существо телефон видеокамера стена команда панель гномик
1266;Ancient wonders captured in 3D;429318;Fascinating Inspiring Ingenious;облако партнер памятник сохранение апплодисменты база бык луч сканер культура
1267;A map of the brain;910943;Informative Fascinating Ingenious;ген область нейрон ткань образец мозги лекарство стекло белок геном
1269;The shared experience of absurdity;2543763;Funny Inspiring Ingenious;камера штаны остановка метро линия сигнал девушка магазин поезд полицейский
1270;Conception to birth -- visualized;5535209;Beautiful Fascinating Jaw-dropping;рождение сердце плод предел сложность зачатие километр яйцеклетка коллаген сканирование
1271;Fly with the Jetman;7136910;Jaw-dropping Fascinating Courageous;крыло самолет высота росси парашют ива полет мотор комментатор пилот
1272;A 12-year-old app developer;4011952;Inspiring Funny Fascinating;приложение клуб пакет ученик разработка район скрипка джастин куда бибера
1274;Experiments that hint of longer lives;751331;Fascinating Informative Inspiring;ген гормон старение червь рецептор лекарство мутант продолжительность днк инсулин
1276;Science versus wonder?;617523;Funny Inspiring OK;вселенная зал обезьяна волшебство атом интерпретация радость боль вектор жалоба
1280;How to defend Earth from asteroids;1894686;Funny Fascinating Informative;астероид диаметр ущерб зонд камень кратер динозавр двигатель апофис скважина
1281;Meet Rezero, the dancing ballbot;525152;Ingenious Fascinating Inspiring;резеро робот режим томас шар шаробот применение сенсор неустойчивость колесо
1282;The technology of storytelling;918789;Funny OK Unconvincing;рассказ меггендорфер лотар стена слушатель норма жест ножницы пещера интерпретация
1283;Nature. Beauty. Gratitude.;3169340;Beautiful Inspiring Fascinating;дар счастие красота благодарность сердце небо погода подарок облако гармония
1284;A garden in my apartment;1411280;Inspiring Ingenious Informative;ферма растение удобрение среда лампочка квартира выращивание фермер вклад опыт
1285;Living beyond limits;1209351;Inspiring Courageous Beautiful;граница сноуборд воображение стопа лодыжка протез больница автор обувь мечта
1286;Philosophy in prison;974072;Inspiring Fascinating Courageous;тони философия тюрьма сократ мнение тип клеймо кровь рядом задание
1287;Don't regret regret;1414672;Inspiring Courageous Persuasive;сожаление татуировка джонни депп компонент контроль род урок взгляд повод
1288;How to stop torture;499767;Inspiring Courageous Persuasive;пытка тюрьма юрист адвокат защитник камбоджа дознание заключенный мальчик доступ
1289;What we learn before we're born;1397780;Informative Fascinating Persuasive;плод голос рождение беременность матка еда исследователь условие вкус ПТСР
1290;Dance vs. powerpoint, a modest proposal;423992;Beautiful Inspiring Ingenious;материя атом танцор танец презентация фотон лазер поддержка дэвид температура
1291;Building the musical muscle;481971;Informative Inspiring Fascinating;слух имплантат девочка восстановление восприятие потеря способность красота высота труба
1294;How to topple a dictator;208030;Inspiring Informative Persuasive;борьба президент канистра полицейский египет революция народ юмор условие демократия
1295;Massive-scale online collaboration;1322263;Ingenious Inspiring Fascinating;перевод капча текст сайт предложение ввод пользователь символ страница бизнес
1296;The magnificence of spider silk;668302;Informative Fascinating Inspiring;шелк паук волокно паутина последовательность тип железа железо добыча прочность
1297;Ultrasound surgery -- healing without cuts;627423;Fascinating Ingenious Jaw-dropping;ультразвук боль резонанс температура рак доктор джон фиброма разрушение хирургия
1298;There are no mistakes on the bandstand;561564;Inspiring Beautiful Fascinating;ошибка нота сцена джаз палитра музыкант кристиан ансамбль творчество особенность
1301;The hidden light of Afghanistan;480833;Courageous Inspiring Beautiful;афганистан талиб девочка молитва хлеб граница река восток конфликт ближний
1302;Color-coded surgery;1054864;Ingenious Fascinating Informative;опухоль нерв рак хирург молекула ткань узел операция образец организм
1303;Put a value on nature!;531279;Informative Persuasive Inspiring;лес стоимость углерод экосистема потеря выброс рыба урон капитал экономика
1304;Cooking as alchemy;792626;Ingenious Fascinating Jaw-dropping;блюдо вкус ока ингредиент еда корова тунец начос приготовление гамбургер
1305;An unexpected place of healing;330613;Inspiring Courageous Jaw-dropping;навык горло операция собака больница способность понятие килограмм трость угол
1308;The quest to understand consciousness;1344451;Informative Fascinating Inspiring;разум ствол кора сознание область сетчатка нейрон сетка взаимосвязь личность
1309;A prosthetic eye to treat blindness;363241;Ingenious Fascinating Informative;сетчатка код кодер протез набор рабочий передатчик импульс метод реакция
1310;The battle between your present and future self;1813067;Informative OK Unconvincing;пенсия метод самоограничение сбережение мачта одиссея зарплата помощник размер одиссей
1311;There are no scraps of men;698246;Inspiring Courageous Beautiful;махмуд наджмуддин протез центр сын афганистан коляска реабилитация перемена линия
1312;How healthy living nearly killed me;1258667;Funny Unconvincing OK;привычка здоровье шлем шум правило ощущение удовольствие крем борьба бегство
1313;Life's third act;2153007;Inspiring Persuasive Fascinating;акт возраст прошлое метафора лестница мудрость селинджер достижение виктор патология
1314;The global power shift;897120;Persuasive Informative Fascinating;власть безопасность управление джентльмен министр леди запад держава союз территория
1315;1,000 TED Talks in six words;574119;Funny Ingenious Unconvincing;выступление обобщение цент изложение задача счастие набор задание сожаление сокращение
1320;Award-winning teenage science in action;833856;Inspiring Informative Fascinating;курица воздух рак канцероген астма качество джули состояние белок лаборатория
1321;In defense of dialogue;263430;Persuasive Inspiring Informative;переговоры конфликт военный дипломатия государство диалог метод народ участие десятилетие
1322;Animations of unseeable biology;1118818;Fascinating Jaw-dropping Beautiful;днк хромосома цепь частица зона молекула понимание микротрубочка кровь открытие
1323;"""Women of Hope""";273467;Beautiful Inspiring OK;надежда перемена рассвет солдат любовь господь протест радость боль арест
1326;Meet the Water Canary;310252;Ingenious Informative Inspiring;канарейка реакция условие холера качество разработка образец тестирование эксперт гаити
1327;Atheism 2.0;1758052;Inspiring Persuasive Fascinating;религия проповедь атеист музей луна церковь область аба атеизм аспект
1328;Three types of online attack;881914;Informative Persuasive Courageous;атака гражданин германия взломщик инструмент сертификация счет запад принтер свобода
1329;Why SOPA is a bad idea;1242738;Informative Persuasive Inspiring;конгресс копирование пекарня законопроект эффект медиакомпания имя пользователь аудиозапись нарушение
1330;How to make choosing easier;1928515;Informative Persuasive Fascinating;выбор вариант варение план категория журнал магазин избыток накопление прием
1332;Plant fuels that could power a jet;112803;Informative Ingenious Inspiring;водоросль растение лаборатория топливо поколение галофит бак параметр удобрение фотобиореактор
1334;Is there a real you?;599119;Inspiring Fascinating Persuasive;сущность иллюзия личность впечатление водопад компонент совокупность мессия мера мысль
1335;A primer on 3D printing;1510249;Informative Fascinating Jaw-dropping;изделие производство слой принтер имплантанта заказ правило использование печать барьер
1336;Extreme swimming with the world's most dangerous jellyfish;546256;Inspiring Courageous Jaw-dropping;медуза мечта спорт плавание ночь боль куба рыба флорида кубомедуза
1337;Doctors make mistakes. Can we talk about that?;1161268;Courageous Inspiring Persuasive;ошибка врач больница коллега результативность стыд медсестра горло дрюкер игрок
1338;Know thyself, with a brain scanner;336892;Unconvincing Fascinating Longwinded;состояние приложение волна взаимодействие ощущение СДВГ сознание активность понимание открытие
1339;Women entrepreneurs, example not exception;478345;Inspiring Persuasive Courageous;бизнес предприниматель исключение малый девушка куда рабочий кредит мвф сфера
1341;What happens inside those massive warehouses?;236820;Ingenious Informative Fascinating;товар склад упаковщик заказ упаковка коробка зона робот сборка подход
1342;Why I chose a gun;1096283;Inspiring Persuasive Courageous;оружие применение инструмент насилие нидерланды государство дама армия солдат господь
1343;Treating cancer with electric fields;480243;Informative Ingenious Fascinating;поле рак опухоль метод химиотерапия деление роберт эффект ядро белок
1344;The happy secret to better work;12557871;Inspiring Funny Informative;счастие успех сестра формула единорог график гарвард кровать установка состояние
1345;The universal anesthesia machine;294583;Ingenious Informative Inspiring;аппарат больница операция кислород анестезия условие прибор электричество воздух анестезирование
1346;Back to the future (of 1994);540716;Fascinating Informative Ingenious;сообщество эволюция организм запись элемент капелька шаг код днк строка
1349;How your brain tells you where you are;915879;Informative Fascinating OK;нейрон крыса активность граница стена местность направление память решетка флажок
1350;Non-lethal weapons, a moral hazard?;437123;Informative Persuasive Unconvincing;военный оружие полицейский полиция баллончик задание средство газ ситуация применение
1351;Globalizing the local, localizing the global;487611;Inspiring Informative Courageous;культура музей девочка идентичность катар запад молодой нью-йорк взгляд глава
1352;Where are the baby dinosaurs?;748792;Funny Informative Fascinating;динозавр музей кость трицератопс особь молодой шип название торозавр дракорекс
1353;Impossible photography;3138615;Fascinating Inspiring Ingenious;правило фотоаппарат освещение объединение цвет иллюзия достижение ракурс реалистичность кнопка
1355;Everyday leadership;2210944;Inspiring Funny Persuasive;лидерство леденец университет мнение миссия власть лидер рядом роль шинерама
1356;The toxic baby;382412;Informative Persuasive Jaw-dropping;атразин эстроген вещество грудь среда воздействие бутылочка плацента лягушка яичко
1357;What you don't know about marriage;3606874;Funny Unconvincing Informative;брак муж секс жена развод оскар возраст камера поиск шанс
1359;Crowdsource your health;268603;Informative Persuasive Ingenious;дефибриллятор здоровье давление приложение родственник фиаско утро весы нидерланды телефон
1360;How do you save a shark you know nothing about?;425284;Informative Fascinating OK;акула образец слизь метка лодка берег генетик численность разнообразие ловля
1361;How mobile phones power disaster relief;312492;Informative Persuasive Inspiring;гаити доступ кибера смс сообщество землетрясение слой поддержка порт-о-пренс ситуация
1362;The true cost of oil;708838;Persuasive Jaw-dropping Informative;тайга газ канада лес песок хвостохранилище нефть болото экосистема месторождение
1364;2600 years of history in one object;831487;Fascinating Informative Inspiring;цилиндр иран кира правитель кир вавилон предмет бог ближний народ
1365;Comedy is translation;646603;Funny Persuasive Inspiring;юмор джоэл общение перевод конференция комедия реакция прямой честность запрос
1366;Using tech to enable dreaming;548330;Beautiful Inspiring Fascinating;волшебство планшет взаимодействие рассказ фотоаппарат коллекция апсар анимация среда глава
1367;Saving for tomorrow, tomorrow;763105;Informative Persuasive Inspiring;сбережение галочка план финансы банан орган потеря пенсия донор зарплата
1368;My immigration story;869494;Inspiring Courageous Beautiful;лодка головоломка бабушка девочка море протяжение горизонт тан ночь сестра
1370;All your devices can be hacked;969896;Informative Jaw-dropping Fascinating;текст автомобиль безопасность радио область смартфон использование сигнал акселерометр частота
1371;Why videos go viral;1855914;Funny Informative Fascinating;пятница законодатель вкус сообщество блэк соучастник кошка просмотр боже джимми
1372;A census of the ocean;272371;Informative Fascinating Inspiring;рыба перепись берег образец существо глубина кислород организм разнообразие участок
1373;The ocean's shifting baseline;187005;Informative Persuasive Inspiring;рыба отсчет дно тилапия заповедник прошлое аватар мусор потеря мертвый
1374;The Earth is full;1053555;Persuasive Inspiring Courageous;экономика кризис рост цивилизация предел климат еда угроза ресурс подход
1375;Abundance is our future;1204821;Inspiring Persuasive Informative;телефон электричество протеин алюминий стоимость изобилие нехватка мор интеллект цент
1376;Robots that fly ... and cooperate;3812146;Jaw-dropping Fascinating Ingenious;робот винт траектория сосед команда положение секунда скорость ускорение задача
1377;The power of introverts;12933916;Inspiring Courageous Persuasive;интроверт экстраверт чемодан дедушка рабочий интроверсия одиночество характер лагерь тип
1378;We need to talk about an injustice;2730857;Inspiring Courageous Persuasive;казнь индивидуальность суд брайан тюрьма чернокожий судья молодой зал брат
1379;The clues to a great story;2010021;Inspiring Fascinating Informative;повествование рассказ сцена событие поиск персонаж герой удивление игрушка спиралька
1380;Why I must speak out about climate change;1075287;Persuasive Informative Courageous;потепление климат венера топливо атмосфера дисбаланс выброс засуха эффект реакция
1381;Coding a better government;767500;Inspiring Persuasive Informative;приложение опоссум снег гидрант бостон горожанин политика скотт голос поколение
1382;A TED speaker's worst nightmare;2729268;Funny Obnoxious Ingenious;секунда энергетика загрузка открытие обращение краудсорсинг фирма среда
1384;Why you will fail to have a great career;4659997;Inspiring Funny Persuasive;карьера малыш оправдание увлечение мечта страсть интерес гений стив талант
1389;Religion, evolution, and the ecstasy of self-transcendence;1017901;Inspiring Fascinating Persuasive;лестница команда опыт дюркгейм лодка эволюция дарвин улей интерес религия
1390;The $8 billion iPod;2478550;Funny Informative Persuasive;математика доход экономика рабочий математик число медиапродукт потеря эксперт нарушение
1391;Listening to shame;5962427;Inspiring Courageous Beautiful;стыд уязвимость выступление арена мысль слабость ошибка способность мужество тема
1394;Let's transform energy -- with natural gas;583487;Informative Persuasive Unconvincing;газ нефть топливо баррель триллион опек план метан гидроразрыв цена
1396;The single biggest health threat women face;696672;Informative Persuasive Inspiring;сердце рак железа кампания вариант приступ смертность заболевание борьба метод
1397;Yup, I built a nuclear fusion reactor;2861565;Inspiring Jaw-dropping Ingenious;реактор синтез гараж детектор ядро звезда сотня физика водород президент
1398;Everyday moments, caught in time;1008354;Funny Beautiful Inspiring;стихотворение поэзия деревня рассказчик умерший спичка коробка мера название поэт
1399;Let's talk about dying;707773;Courageous Informative Persuasive;смерть терапия реанимация эвтаназия палата запись сотня вариант врач сожаление
1401;The missing link to renewable energy;1653758;Ingenious Inspiring Fascinating;аккумулятор батарея металл температура производство энергосистема элемент магний дэвид вольта
1402;From mach-20 glider to hummingbird drone;1493814;Inspiring Jaw-dropping Fascinating;полет супергерой колибри скорость планер неудача аппарат секунда ракета поражение
1403;Unlock the intelligence, passion, greatness of girls;945966;Inspiring Courageous Beautiful;девочка молодой девушка деревня желание мечта либерия колледж лейм местность
1404;Building blocks that blink, beep and teach;1066529;Ingenious Inspiring Fascinating;блок кирпичик электроника транзистор инженер дизайнер опыт провод бумага ручка
1405;A magical tale (with augmented reality);1341173;Fascinating Beautiful Ingenious;зритель трюк магия фокус маг вера уловка кольридж жан обман
1409;Connected, but alone?;3222975;Inspiring Persuasive Informative;сообщение робот общение живой дочь способность уединение одиночество молодой впечатление
1410;Designing books is no laughing matter. OK, it is.;1465317;Funny Inspiring Fascinating;издательство оформитель автор ответственность нопф хепберн дитрих чернила страница понятие
1411;On the virtual dissection table;931123;Ingenious Informative Fascinating;стол надрез вскрытие орган мышца доктор анатомия сердце артерия труп
1412;The other inconvenient truth;614676;Informative Persuasive Jaw-dropping;хозяйство река море среда выращивание поле продовольствие газ климат америка
1413;How can technology transform the human body?;1449950;Unconvincing Fascinating Obnoxious;кожа дух архитектор общение эволюция биология филипс беседа лаборатория очертание
1416;Half a million secrets;2753294;Beautiful Inspiring Fascinating;секрет открытка сообщение мэтти сайт выступление сын блог фотоаппарат снимок
1417;Moral behavior in animals;2897252;Fascinating Informative Funny;шимпанзе сочувствие слон цилиндр обезьяна канат виноград справедливость задание огурец
1418;Let's put birth control back on the agenda;1062448;Persuasive Informative Inspiring;контрацепция контрацептив доступ средство секс инъекция путешествие мелинда тенденция тема
1419;How I repaired my own heart;1233123;Ingenious Inspiring Informative;аорта метод клапан сапр команда инженер сердце больница врач член
1420;Building US-China relations ... by banjo;932726;Inspiring Beautiful Courageous;банджо китай роща сестра ночь шоу землетрясение юрист любовь сцена
1421;How do we heal medicine?;1402739;Inspiring Persuasive Informative;больница медицина бригада врач навык доктор сложность специалист ценность медсестра
1422;How I beat a patent troll;1003250;Funny Informative Courageous;патент тролль соглашение суд иск защита пресс-релиз неразглашение адвокат нарушение
1423;The stories behind the bloodlines;732061;Fascinating Informative Longwinded;глава портрет кролик приют член блок франк род брат порядок
1424;Older people are happier;1049322;Informative Inspiring Unconvincing;возраст молодой старость эмоция молодежь старение опрос поколение участник продолжительность
1425;Tracking ancient diseases using ... plaque;602011;Informative Fascinating Ingenious;камень здоровье днк зуб бактерия скелет заболевание изучение питание эволюция
